cod_provin,provincia,cod_canton,canton,codigo_dta,distrito,Activos,POBLACION_2011,IDS,POSICION,POBLACION_2016,EXTENSION,DENSIDAD,REGION,ActivosPerCapita
1,San José,101,San José,10101,El Carmen,115,2702,81.16,57,3090,1.49,2073.83,CENTRAL,37.21682848
1,San José,101,San José,10107,Uruca,1245,31728,63.87,229,39443,8.35,4723.71,CENTRAL,31.56453617
1,San José,101,San José,10102,Merced,420,12257,67.73,196,14721,2.29,6428.38,CENTRAL,28.53067047
1,San José,110,Alajuelita,11005,San Felipe,865,31649,68.1,190,37220,5.16,7213.18,CENTRAL,23.24019344
1,San José,110,Alajuelita,11001,Alajuelita,282,11988,79.18,69,12875,1.3,9903.85,CENTRAL,21.90291262
1,San José,101,San José,10103,Hospital,444,19270,62.5,250,22895,3.38,6773.67,CENTRAL,19.39288054
2,Alajuela,201,Alajuela,20108,San Rafael,578,26248,69.03,174,31365,19.24,1630.2,CENTRAL,18.42818428
1,San José,110,Alajuelita,11002,San Josecito,219,10506,70.26,157,12005,2.17,5532.26,CENTRAL,18.242399
1,San José,110,Alajuelita,11004,Concepción,372,18721,68.52,182,21550,2.89,7456.75,CENTRAL,17.26218097
1,San José,113,Tibás,11302,Cinco Esquinas,135,5925,64.81,221,7993,0.66,12110.61,CENTRAL,16.88977856
1,San José,101,San José,10109,Pavas,1396,71384,73.72,113,84102,9.34,9004.5,CENTRAL,16.59889182
4,Heredia,401,Heredia,40103,San Francisco,835,49209,74.94,97,55465,6.4,8666.41,CENTRAL,15.0545389
1,San José,101,San José,10104,Catedral,226,12936,76.17,89,15308,2.31,6626.84,CENTRAL,14.76352234
1,San José,113,Tibás,11304,León XIII,260,13661,59.36,286,18657,0.79,23616.46,CENTRAL,13.93578818
1,San José,103,Desamparados,10311,San Rafael Abajo,359,23283,74.6,102,25901,1.99,13015.58,CENTRAL,13.86046871
4,Heredia,403,Santo Domingo,40301,Santo Domingo,64,4730,83.5,40,5120,0.74,6918.92,CENTRAL,12.5
2,Alajuela,202,San Ramón,20212,Zapotal,6,391,46.22,417,489,67.72,7.22,CENTRAL,12.26993865
4,Heredia,403,Santo Domingo,40308,Pará,48,3333,74.76,100,3963,2.71,1462.36,CENTRAL,12.11203634
1,San José,118,Curridabat,11804,Tirrases,234,16247,66.37,206,20177,1.89,10675.66,CENTRAL,11.59736333
1,San José,103,Desamparados,10302,San Miguel,417,31805,68.45,183,36199,21.15,1711.54,CENTRAL,11.51965524
